2026-08-31 20:55:54,730 INFO pyjab init jab
2026-08-31 20:55:54,753 INFO pyjab init jab success
12 | menu item        | Configuración - Procesamiento nemotécnico C |  | -1,-1,-1,-1 | action=True
13 | panel            |  |  | 3,103,969,0 | action=False
13 | panel            |  |  | -1,-1,-1,-1 | action=False
13 | viewport         |  |  | 3,103,969,580 | action=False
13 | panel            |  |  | 8,105,457,10 | action=False
13 | panel            |  |  | 8,125,457,22 | action=False
13 | scroll pane      |  |  | 8,157,457,216 | action=False
13 | panel            |  |  | 99,383,275,27 | action=False
13 | panel            |  |  | -1,-1,-1,-1 | action=False
13 | panel            |  |  | -1,-1,-1,-1 | action=False
13 | viewport         |  |  | -1,-1,-1,-1 | action=False
13 | panel            |  |  | 4,1303,1,0 | action=False
13 | panel            |  |  | -1,-1,-1,-1 | action=False
13 | viewport         |  |  | 4,1303,1,-2 | action=False
13 | panel            |  |  | -1,-1,-1,-1 | action=False
13 | panel            |  |  | -1,-1,-1,-1 | action=False
13 | viewport         |  |  | -1,-1,-1,-1 | action=False
14 | panel            |  |  | -1,-1,-1,-1 | action=False
14 | panel            |  |  | 3,103,976,591 | action=False
14 | label            | Buscar |  | 8,128,39,16 | action=False
14 | text             |  Buscar |  Buscar | 47,125,418,22 | action=False
14 | list             |  |  | 10,159,439,212 | action=False
14 | scroll bar       |  |  | -1,-1,-1,-1 | action=False
14 | scroll bar       |  |  | 449,159,15,212 | action=False
14 | panel            |  |  | 99,383,135,27 | action=False
14 | panel            |  |  | 239,383,135,27 | action=False
14 | panel            |  |  | -1,-1,-1,-1 | action=False
14 | panel            |  |  | -1,-1,-1,-1 | action=False
14 | panel            |  |  | -1,-1,-1,-1 | action=False
14 | panel            |  |  | 4,1301,784,485 | action=False
14 | panel            |  |  | -1,-1,-1,-1 | action=False
14 | panel            |  |  | -1,-1,-1,-1 | action=False
15 | scroll pane      |  |  | 3,103,976,591 | action=False
15 | label            | Licencia / Permiso:ATENCION FAMILIAR ENFERMO	Novedad:CARPETA MEDICA |  | -1,-1,-1,-1 | action=False
15 | label            | Licencia / Permiso:CARPETA MEDICA	Novedad:CARPETA MEDICA |  | -1,-1,-1,-1 | action=False
15 | label            | Licencia / Permiso:ADOPCION	Novedad:LICENCIA |  | -1,-1,-1,-1 | action=False
15 | label            | Licencia / Permiso:ADOPCION DE INTEGRACION	Novedad:LICENCIA |  | -1,-1,-1,-1 | action=False
15 | label            | Licencia / Permiso:ADULTOS MAYORES COVID-19	Novedad:LICENCIA |  | -1,-1,-1,-1 | action=False
15 | label            | Licencia / Permiso:AISLAMIENTO SOCIAL PREVENTIVO Y OBLIGATORIOS	Novedad:LICENCIA |  | -1,-1,-1,-1 | action=False
15 | label            | Licencia / Permiso:ANUAL	Novedad:LICENCIA |  | -1,-1,-1,-1 | action=False
15 | label            | Licencia / Permiso:ANUAL COMPLEMENTARIA X	Novedad:LICENCIA |  | -1,-1,-1,-1 | action=False
15 | label            | Licencia / Permiso:ANUAL COMPLEMENTARIA 10430	Novedad:LICENCIA |  | -1,-1,-1,-1 | action=False
15 | label            | Licencia / Permiso:AÑO NUEVO DE LOS PUEBLOS ORIGINARIOS	Novedad:LICENCIA |  | -1,-1,-1,-1 | action=False
15 | label            | Licencia / Permiso:CAUSAS PARTICULARES	Novedad:LICENCIA |  | -1,-1,-1,-1 | action=False
15 | label            | ..... |  | -1,-1,-1,-1 | action=False
15 | label            | ..... |  | -1,-1,-1,-1 | action=False
15 | label            | ..... |  | -1,-1,-1,-1 | action=False
15 | label            | ..... |  | -1,-1,-1,-1 | action=False
15 | label            | ..... |  | -1,-1,-1,-1 | action=False
15 | label            | ..... |  | -1,-1,-1,-1 | action=False
15 | label            | ..... |  | -1,-1,-1,-1 | action=False
15 | label            | ..... |  | -1,-1,-1,-1 | action=False
15 | label            | ..... |  | -1,-1,-1,-1 | action=False
15 | label            | ..... |  | -1,-1,-1,-1 | action=False
15 | label            | ..... |  | -1,-1,-1,-1 | action=False
15 | label            | ..... |  | -1,-1,-1,-1 | action=False
15 | label            | ..... |  | -1,-1,-1,-1 | action=False
15 | label            | ..... |  | -1,-1,-1,-1 | action=False
15 | label            | ..... |  | -1,-1,-1,-1 | action=False
15 | label            | ..... |  | -1,-1,-1,-1 | action=False
15 | label            | ..... |  | -1,-1,-1,-1 | action=False
15 | label            | ..... |  | -1,-1,-1,-1 | action=False
15 | label            | ..... |  | -1,-1,-1,-1 | action=False
15 | label            | ..... |  | -1,-1,-1,-1 | action=False
15 | label            | ..... |  | -1,-1,-1,-1 | action=False
15 | label            | ..... |  | -1,-1,-1,-1 | action=False
15 | label            | ..... |  | -1,-1,-1,-1 | action=False
15 | label            | ..... |  | -1,-1,-1,-1 | action=False
15 | label            | ..... |  | -1,-1,-1,-1 | action=False
15 | label            | ..... |  | -1,-1,-1,-1 | action=False
15 | label            | ..... |  | -1,-1,-1,-1 | action=False
15 | label            | ..... |  | -1,-1,-1,-1 | action=False
15 | label            | ..... |  | -1,-1,-1,-1 | action=False
15 | label            | ..... |  | -1,-1,-1,-1 | action=False
15 | label            | ..... |  | -1,-1,-1,-1 | action=False
15 | label            | ..... |  | -1,-1,-1,-1 | action=False
15 | label            | ..... |  | -1,-1,-1,-1 | action=False
15 | label            | ..... |  | -1,-1,-1,-1 | action=False
15 | label            | ..... |  | -1,-1,-1,-1 | action=False
15 | label            | ..... |  | -1,-1,-1,-1 | action=False
15 | label            | ..... |  | -1,-1,-1,-1 | action=False
15 | label            | ..... |  | -1,-1,-1,-1 | action=False
15 | label            | ..... |  | -1,-1,-1,-1 | action=False
15 | label            | ..... |  | -1,-1,-1,-1 | action=False
15 | label            | ..... |  | -1,-1,-1,-1 | action=False
15 | label            | ..... |  | -1,-1,-1,-1 | action=False
15 | label            | ..... |  | -1,-1,-1,-1 | action=False
15 | label            | ..... |  | -1,-1,-1,-1 | action=False
15 | label            | ..... |  | -1,-1,-1,-1 | action=False
15 | label            | ..... |  | -1,-1,-1,-1 | action=False
15 | label            | ..... |  | -1,-1,-1,-1 | action=False
15 | label            | ..... |  | -1,-1,-1,-1 | action=False
15 | label            | ..... |  | -1,-1,-1,-1 | action=False
15 | label            | ..... |  | -1,-1,-1,-1 | action=False
15 | label            | ..... |  | -1,-1,-1,-1 | action=False
15 | push button      | Buscar ALT B |  | 137,383,59,27 | action=True
15 | push button      | Aceptar ALT A |  | 239,383,65,27 | action=True
15 | push button      | Cancelar ALT C |  | 309,383,65,27 | action=True
15 | scroll pane      |  |  | 4,1301,784,485 | action=False
16 | viewport         |  |  | 3,103,976,591 | action=False
16 | viewport         |  |  | 4,1301,784,485 | action=False
17 | panel            |  |  | 3,103,976,591 | action=False
17 | panel            |  |  | 4,1301,784,485 | action=False
18 | scroll bar       |  |  | 918,240,18,362 | action=False
18 | text             | Apellido y Nombre  | Apellido y Nombre  | 179,172,352,27 | action=False
18 | text             |  |  | 20,244,16,24 | action=False
18 | text             |  |  | 20,268,16,24 | action=False
18 | text             |  |  | 20,292,16,24 | action=False
18 | text             |  |  | 20,316,16,24 | action=False
18 | text             |  |  | 20,340,16,24 | action=False
18 | text             |  |  | 20,364,16,24 | action=False
18 | text             |  |  | 20,388,16,24 | action=False
18 | text             |  |  | 20,412,16,24 | action=False
18 | text             |  |  | 20,436,16,24 | action=False
18 | text             |  |  | 20,460,16,24 | action=False
18 | text             |  |  | 20,484,16,24 | action=False
18 | text             |  |  | 20,508,16,24 | action=False
18 | text             |  |  | 20,532,16,24 | action=False
18 | text             |  |  | 20,556,16,24 | action=False
18 | text             |  |  | 20,580,16,24 | action=False
18 | text             | Legajo | Legajo | 39,244,61,24 | action=False
18 | text             | Legajo | Legajo | 39,268,61,24 | action=False
18 | text             | Legajo | Legajo | 39,292,61,24 | action=False
18 | text             | Legajo | Legajo | 39,316,61,24 | action=False
18 | text             | Legajo | Legajo | 39,340,61,24 | action=False
18 | text             | Legajo | Legajo | 39,364,61,24 | action=False
18 | text             | Legajo | Legajo | 39,388,61,24 | action=False
18 | text             | Legajo | Legajo | 39,412,61,24 | action=False
18 | text             | Legajo | Legajo | 39,436,61,24 | action=False
18 | text             | Legajo | Legajo | 39,460,61,24 | action=False
18 | text             | Legajo | Legajo | 39,484,61,24 | action=False
18 | text             | Legajo | Legajo | 39,508,61,24 | action=False
18 | text             | Legajo | Legajo | 39,532,61,24 | action=False
18 | text             | Legajo | Legajo | 39,556,61,24 | action=False
18 | text             | Legajo | Legajo | 39,580,61,24 | action=False
18 | push button      | ... | ... | 103,244,24,24 | action=True
18 | push button      | ... | ... | 103,268,24,24 | action=True
18 | push button      | ... | ... | 103,292,24,24 | action=True
18 | push button      | ... | ... | 103,316,24,24 | action=True
18 | push button      | ... | ... | 103,340,24,24 | action=True
18 | push button      | ... | ... | 103,364,24,24 | action=True
18 | push button      | ... | ... | 103,388,24,24 | action=True
18 | push button      | ... | ... | 103,412,24,24 | action=True
18 | push button      | ... | ... | 103,436,24,24 | action=True
18 | push button      | ... | ... | 103,460,24,24 | action=True
